CS:GO Weapon Case 152,416 $0.05
eSports 2013 Case 99,926 $0.04
Operation Bravo Case 9,936 $0.61
AUG | Wings (Factory New) 7,136 $0.11
M4A1-S | Bright Water (Minimal Wear) 312 $1.35
StatTrak™ MP7 | Skulls (Minimal Wear) 307 $0.60
XM1014 | Jungle (Minimal Wear) 280 $0.06
Dual Berettas | Anodized Navy (Factory New) 275 $0.77
M4A4 | Jungle Tiger (Battle-Scarred) 268 $0.07
M4A4 | Tornado (Battle-Scarred) 267 $0.09
XM1014 | Jungle (Battle-Scarred) 263 $0.06
M4A1-S | Blood Tiger (Minimal Wear) 261 $1.01
M249 | Jungle DDPAT (Battle-Scarred) 260 $0.04
USP-S | Overgrowth (Field-Tested) 258 $0.87
Tec-9 | Ossified (Factory New) 256 $0.48
P250 | Hive (Minimal Wear) 248 $0.23
SCAR-20 | Crimson Web (Field-Tested) 240 $0.10
M249 | Blizzard Marbleized (Minimal Wear) 240 $0.15
G3SG1 | Arctic Camo (Battle-Scarred) 216 $0.08
Tec-9 | Tornado (Minimal Wear) 214 $0.05
AUG | Hot Rod (Factory New) 208 $1.33
FAMAS | Hexane (Field-Tested) 207 $0.15
M4A4 | Tornado (Minimal Wear) 207 $0.13
P2000 | Silver (Factory New) 207 $1.30
Galil AR | Winter Forest (Battle-Scarred) 207 $0.12
SCAR-20 | Palm (Minimal Wear) 207 $0.20
M249 | Jungle DDPAT (Minimal Wear) 206 $0.05
StatTrak™ SG 553 | Ultraviolet (Battle-Scarred) 203 $0.43
M4A4 | Jungle Tiger (Minimal Wear) 202 $0.17
M4A4 | Zirka (Field-Tested) 202 $0.93
Dual Berettas | Black Limba (Battle-Scarred) 201 $0.13
SG 553 | Wave Spray (Minimal Wear) 201 $0.15
MP7 | Groundwater (Minimal Wear) 199 $0.06
Dual Berettas | Black Limba (Minimal Wear) 198 $0.20
Five-SeveN | Candy Apple (Factory New) 197 $0.55
G3SG1 | Demeter (Minimal Wear) 194 $0.14
AK-47 | Red Laminate (Field-Tested) 194 $3.10
P250 | Gunsmoke (Battle-Scarred) 193 $0.15
G3SG1 | Arctic Camo (Minimal Wear) 193 $0.21
M4A1-S | Blood Tiger (Factory New) 189 $1.43
FAMAS | Hexane (Minimal Wear) 182 $0.16
M249 | Blizzard Marbleized (Well-Worn) 181 $0.10
SCAR-20 | Splash Jam (Field-Tested) 181 $0.85
AK-47 | Jungle Spray (Battle-Scarred) 181 $0.49
M249 | Blizzard Marbleized (Battle-Scarred) 180 $0.11
AK-47 | Predator (Battle-Scarred) 177 $0.57
MP7 | Groundwater (Battle-Scarred) 176 $0.05
Sawed-Off | Mosaico (Field-Tested) 176 $0.10
P90 | Fallout Warning (Battle-Scarred) 175 $0.38
SCAR-20 | Palm (Battle-Scarred) 174 $0.21
M4A4 | Desert Storm (Minimal Wear) 174 $0.50
StatTrak™ SG 553 | Ultraviolet (Minimal Wear) 174 $0.73
SG 553 | Wave Spray (Battle-Scarred) 173 $0.10
Sawed-Off | Orange DDPAT (Minimal Wear) 171 $0.55
M4A4 | Desert Storm (Battle-Scarred) 170 $0.21
Tec-9 | Tornado (Battle-Scarred) 167 $0.04
Negev | Anodized Navy (Factory New) 165 $0.94
MP9 | Dry Season (Battle-Scarred) 163 $0.05
AWP | BOOM (Minimal Wear) 162 $5.98
MAC-10 | Graven (Field-Tested) 162 $0.57
XM1014 | Fallout Warning (Battle-Scarred) 161 $0.17
Galil AR | Winter Forest (Minimal Wear) 157 $0.20
M4A4 | Radiation Hazard (Field-Tested) 156 $1.05
P250 | Hive (Factory New) 155 $0.43
MP7 | Groundwater (Well-Worn) 155 $0.05
Galil AR | Shattered (Minimal Wear) 154 $0.20
M4A4 | Zirka (Minimal Wear) 152 $0.89
M4A4 | Tornado (Well-Worn) 151 $0.11
P250 | Facets (Field-Tested) 151 $0.13
AK-47 | Jungle Spray (Minimal Wear) 151 $0.60
Glock-18 | Sand Dune (Field-Tested) 150 $0.36
M4A1-S | Bright Water (Field-Tested) 150 $1.49
M4A4 | Jungle Tiger (Well-Worn) 150 $0.13
XM1014 | Jungle (Well-Worn) 146 $0.05
P250 | Gunsmoke (Minimal Wear) 144 $0.60
P90 | Fallout Warning (Minimal Wear) 144 $0.73
G3SG1 | Arctic Camo (Well-Worn) 144 $0.12
PP-Bizon | Modern Hunter (Field-Tested) 142 $0.26
MP7 | Whiteout (Field-Tested) 141 $0.25
G3SG1 | Demeter (Well-Worn) 140 $0.13
SCAR-20 | Palm (Well-Worn) 140 $0.20
Sawed-Off | Orange DDPAT (Battle-Scarred) 138 $0.59
Galil AR | Shattered (Battle-Scarred) 137 $0.15
MP9 | Dry Season (Minimal Wear) 136 $0.07
G3SG1 | Demeter (Battle-Scarred) 136 $0.12
StatTrak™ SG 553 | Ultraviolet (Well-Worn) 136 $0.49
P250 | Modern Hunter (Field-Tested) 135 $0.30
AWP | Lightning Strike (Factory New) 132 $8.10
SG 553 | Wave Spray (Well-Worn) 132 $0.13
AUG | Anodized Navy (Factory New) 132 $0.57
Negev | Palm (Field-Tested) 132 $0.24
Nova | Blaze Orange (Field-Tested) 131 $0.19
FAMAS | Hexane (Factory New) 130 $0.28
eSports 2013 Key 130 $2.71
Five-SeveN | Candy Apple (Field-Tested) 129 $0.35
AK-47 | Predator (Minimal Wear) 129 $0.92
M249 | Jungle DDPAT (Well-Worn) 127 $0.05
SSG 08 | Mayan Dreams (Field-Tested) 126 $0.14
M4A4 | Desert Storm (Well-Worn) 126 $0.20
XM1014 | Fallout Warning (Minimal Wear) 125 $0.28
XM1014 | Fallout Warning (Minimal Wear) 125 $0.28
P2000 | Grassland Leaves (Battle-Scarred) 124 $0.15
AUG | Copperhead (Field-Tested) 122 $0.76
UMP-45 | Fallout Warning (Minimal Wear) 122 $0.37
Nova | Tempest (Field-Tested) 121 $0.13
Galil AR | Winter Forest (Well-Worn) 120 $0.12
StatTrak™ AUG | Wings (Minimal Wear) 119 $0.99
AWP | Snake Camo (Field-Tested) 117 $3.14
Dual Berettas | Black Limba (Well-Worn) 117 $0.13
Nova | Modern Hunter (Field-Tested) 117 $0.17
StatTrak™ Nova | Tempest (Minimal Wear) 116 $1.92
XM1014 | Blaze Orange (Field-Tested) 116 $0.32
Galil AR | Orange DDPAT (Minimal Wear) 116 $0.69
MP9 | Hypnotic (Factory New) 115 $0.60
StatTrak™ FAMAS | Doomkitty (Field-Tested) 114 $0.80
P90 | Glacier Mesh (Field-Tested) 111 $1.23
StatTrak™ Dual Berettas | Black Limba (Field-Tested) 110 $1.21
AK-47 | Jungle Spray (Well-Worn) 109 $0.55
P2000 | Grassland Leaves (Well-Worn) 108 $0.13
P250 | Gunsmoke (Well-Worn) 107 $0.16
StatTrak™ SG 553 | Wave Spray (Field-Tested) 107 $0.60
Name Tag 106 $2.10
Galil AR | Orange DDPAT (Battle-Scarred) 106 $0.57
Tec-9 | Brass (Field-Tested) 106 $0.18
P2000 | Grassland Leaves (Minimal Wear) 103 $0.27
StatTrak™ G3SG1 | Demeter (Field-Tested) 99 $1.28
AWP | BOOM (Field-Tested) 99 $5.99
StatTrak™ Sawed-Off | Orange DDPAT (Field-Tested) 99 $1.99
AK-47 | Predator (Well-Worn) 97 $0.78
P90 | Emerald Dragon (Field-Tested) 95 $2.41
Tec-9 | Brass (Battle-Scarred) 93 $0.16
Sawed-Off | Orange DDPAT (Well-Worn) 93 $0.62
StatTrak™ M4A4 | Faded Zebra (Minimal Wear) 93 $2.79
Tec-9 | Brass (Well-Worn) 92 $0.17
Tec-9 | Nuclear Threat (Field-Tested) 91 $0.97
MP9 | Dry Season (Well-Worn) 89 $0.05
P90 | Fallout Warning (Well-Worn) 88 $0.47
StatTrak™ UMP-45 | Bone Pile (Field-Tested) 87 $1.28
AK-47 | Case Hardened (Field-Tested) 87 $4.63
Galil AR | Shattered (Well-Worn) 86 $0.10
UMP-45 | Fallout Warning (Well-Worn) 86 $0.18
MP9 | Bulldozer (Field-Tested) 86 $0.92
M4A1-S | Blood Tiger (Field-Tested) 86 $1.01
StatTrak™ M4A4 | Faded Zebra (Battle-Scarred) 84 $2.09
P250 | Splash (Field-Tested) 84 $0.63
USP-S | Overgrowth (Battle-Scarred) 80 $0.80
P2000 | Scorpion (Factory New) 79 $5.11
Nova | Graphite (Factory New) 79 $0.50
PP-Bizon | Carbon Fiber (Minimal Wear) 78 $0.63
P250 | Hive (Field-Tested) 78 $0.37
Five-SeveN | Anodized Gunmetal (Minimal Wear) 77 $0.13
StatTrak™ Galil AR | Shattered (Field-Tested) 76 $1.84
Desert Eagle | Blaze (Factory New) 74 $9.17
P2000 | Ocean Foam (Factory New) 73 $2.87
Dual Berettas | Demolition (Field-Tested) 72 $1.96
SCAR-20 | Crimson Web (Minimal Wear) 72 $0.55
StatTrak™ UMP-45 | Bone Pile (Minimal Wear) 72 $1.52
AK-47 | Black Laminate (Field-Tested) 71 $7.78
Sawed-Off | Copper (Field-Tested) 70 $0.62
SCAR-20 | Crimson Web (Battle-Scarred) 70 $0.18
Galil AR | Orange DDPAT (Well-Worn) 70 $0.60
Five-SeveN | Jungle (Factory New) 68 $0.39
AK-47 | Case Hardened (Well-Worn) 68 $4.09
StatTrak™ MAG-7 | Memento (Field-Tested) 66 $0.51
StatTrak™ M4A4 | Faded Zebra (Well-Worn) 64 $2.00
Tec-9 | Brass (Minimal Wear) 63 $0.30
XM1014 | Fallout Warning (Well-Worn) 63 $0.17
P90 | Death by Kitty (Field-Tested) 63 $6.30
AK-47 | Case Hardened (Minimal Wear) 62 $5.25
USP-S | Overgrowth (Minimal Wear) 62 $1.50
AK-47 | Case Hardened (Battle-Scarred) 62 $3.69
StatTrak™ MAC-10 | Graven (Field-Tested) 60 $2.77
MAG-7 | Sand Dune (Factory New) 60 $0.15
P250 | Facets (Well-Worn) 59 $0.20
SSG 08 | Mayan Dreams (Battle-Scarred) 58 $0.17
Dual Berettas | Demolition (Well-Worn) 58 $1.49
SCAR-20 | Emerald (Factory New) 58 $3.99
MAC-10 | Graven (Minimal Wear) 58 $1.01
StatTrak™ Galil AR | Orange DDPAT (Field-Tested) 57 $2.27
MP7 | Whiteout (Well-Worn) 57 $0.28
SG 553 | Tornado (Factory New) 57 $0.23
MAG-7 | Hazard (Field-Tested) 56 $0.34
AWP | Graphite (Factory New) 55 $10.81
Sawed-Off | Copper (Minimal Wear) 55 $0.74
Negev | Palm (Minimal Wear) 54 $0.49
Dual Berettas | Hemoglobin (Minimal Wear) 54 $0.95
M4A4 | Modern Hunter (Field-Tested) 54 $0.96
XM1014 | Urban Perforated (Factory New) 54 $0.32
MAC-10 | Tornado (Factory New) 54 $0.15
MAG-7 | Irradiated Alert (Factory New) 53 $0.28
Nova | Modern Hunter (Minimal Wear) 53 $0.23
PP-Bizon | Forest Leaves (Factory New) 53 $0.23
P90 | Death by Kitty (Minimal Wear) 52 $7.25
P90 | Cold Blooded (Factory New) 52 $2.87
Dual Berettas | Hemoglobin (Factory New) 52 $1.00
StatTrak™ SG 553 | Wave Spray (Well-Worn) 51 $0.86
SSG 08 | Mayan Dreams (Well-Worn) 51 $0.25
P250 | Nuclear Threat (Field-Tested) 51 $3.76
StatTrak™ SG 553 | Wave Spray (Battle-Scarred) 50 $0.82
XM1014 | Blaze Orange (Battle-Scarred) 50 $0.31
FAMAS | Contrast Spray (Factory New) 50 $0.38
MAC-10 | Graven (Battle-Scarred) 49 $0.83
Nova | Walnut (Factory New) 49 $0.29
StatTrak™ Dual Berettas | Black Limba (Minimal Wear) 49 $2.27
M4A4 | Faded Zebra (Factory New) 49 $0.85
MP7 | Whiteout (Battle-Scarred) 49 $0.30
Nova | Forest Leaves (Factory New) 49 $0.18
SCAR-20 | Crimson Web (Well-Worn) 48 $0.21
P90 | Glacier Mesh (Minimal Wear) 47 $1.99
XM1014 | Grassland (Factory New) 47 $0.20
Glock-18 | Fade (Factory New) 46 $12.33
UMP-45 | Caramel (Factory New) 45 $0.55
StatTrak™ Glock-18 | Dragon Tattoo (Factory New) 45 $11.47
Glock-18 | Sand Dune (Well-Worn) 45 $0.46
Sawed-Off | Mosaico (Well-Worn) 45 $0.15
P250 | Facets (Battle-Scarred) 45 $0.12
StatTrak™ P250 | Splash (Minimal Wear) 45 $7.98
Sawed-Off | Mosaico (Battle-Scarred) 44 $0.11
M4A4 | Radiation Hazard (Minimal Wear) 44 $6.00
AK-47 | Red Laminate (Battle-Scarred) 44 $4.20
Glock-18 | Dragon Tattoo (Minimal Wear) 44 $1.24
M4A4 | Radiation Hazard (Battle-Scarred) 44 $0.98
AK-47 | Black Laminate (Minimal Wear) 44 $8.05
Glock-18 | Brass (Field-Tested) 43 $2.53
AK-47 | Red Laminate (Minimal Wear) 43 $5.26
Five-SeveN | Case Hardened (Field-Tested) 43 $0.77
Nova | Tempest (Factory New) 43 $0.62
PP-Bizon | Rust Coat (Field-Tested) 43 $0.42
Tec-9 | Tornado (Well-Worn) 43 $0.07
Sawed-Off | Mosaico (Minimal Wear) 42 $0.20
P250 | Modern Hunter (Battle-Scarred) 42 $0.34
Negev | Palm (Battle-Scarred) 42 $0.23
USP-S | Overgrowth (Well-Worn) 42 $1.23
Sawed-Off | Irradiated Alert (Factory New) 42 $0.23
MP7 | Whiteout (Minimal Wear) 41 $1.39
P250 | Facets (Minimal Wear) 41 $0.61
USP-S | Serum (Factory New) 41 $5.09
Sawed-Off | Copper (Well-Worn) 41 $0.80
Glock-18 | Sand Dune (Battle-Scarred) 41 $0.31
XM1014 | Blaze Orange (Minimal Wear) 40 $1.09
StatTrak™ FAMAS | Hexane (Field-Tested) 40 $2.38
MAC-10 | Urban DDPAT (Factory New) 40 $0.42
FAMAS | Spitfire (Field-Tested) 40 $2.22
SCAR-20 | Splash Jam (Battle-Scarred) 39 $1.15
Negev | Palm (Well-Worn) 38 $0.27
Five-SeveN | Case Hardened (Battle-Scarred) 38 $0.82
Desert Eagle | Hypnotic (Minimal Wear) 38 $2.82
StatTrak™ M4A1-S | Dark Water (Minimal Wear) 38 $9.74
Glock-18 | Sand Dune (Minimal Wear) 38 $0.69
StatTrak™ SG 553 | Wave Spray (Minimal Wear) 37 $1.23
StatTrak™ G3SG1 | Demeter (Battle-Scarred) 37 $1.30
Nova | Blaze Orange (Minimal Wear) 37 $0.94
StatTrak™ SG 553 | Wave Spray (Minimal Wear) 37 $1.23
StatTrak™ Galil AR | Shattered (Battle-Scarred) 36 $1.70
P90 | Glacier Mesh (Well-Worn) 36 $1.35
Glock-18 | Brass (Well-Worn) 36 $2.68
SCAR-20 | Splash Jam (Minimal Wear) 36 $2.14
StatTrak™ Dual Berettas | Black Limba (Battle-Scarred) 36 $1.24
StatTrak™ SCAR-20 | Crimson Web (Field-Tested) 36 $2.64
StatTrak™ G3SG1 | Demeter (Minimal Wear) 36 $2.54
StatTrak™ Galil AR | Orange DDPAT (Well-Worn) 36 $2.57
StatTrak™ M4A1-S | Blood Tiger (Factory New) 35 $15.00
StatTrak™ Sawed-Off | Orange DDPAT (Battle-Scarred) 35 $1.58
Five-SeveN | Case Hardened (Well-Worn) 35 $0.75
P250 | Modern Hunter (Well-Worn) 35 $0.43
StatTrak™ Tec-9 | Blue Titanium (Factory New) 35 $1.99
StatTrak™ USP-S | Dark Water (Minimal Wear) 34 $8.45
AUG | Copperhead (Minimal Wear) 34 $0.80
StatTrak™ Dual Berettas | Black Limba (Well-Worn) 34 $1.20
XM1014 | Jungle (Factory New) 34 $0.59
Nova | Modern Hunter (Well-Worn) 34 $0.23
PP-Bizon | Modern Hunter (Battle-Scarred) 33 $0.20
SSG 08 | Mayan Dreams (Minimal Wear) 33 $0.85
PP-Bizon | Irradiated Alert (Factory New) 33 $0.47
M4A4 | Radiation Hazard (Well-Worn) 32 $1.97
StatTrak™ M4A1-S | Dark Water (Field-Tested) 32 $9.57
Five-SeveN | Case Hardened (Minimal Wear) 32 $1.47
Tec-9 | Nuclear Threat (Battle-Scarred) 31 $1.15
UMP-45 | Bone Pile (Factory New) 31 $0.41
StatTrak™ USP-S | Dark Water (Field-Tested) 31 $6.67
P90 | Glacier Mesh (Battle-Scarred) 30 $0.92
Tec-9 | Ossified (Minimal Wear) 30 $0.51
P90 | Emerald Dragon (Minimal Wear) 30 $3.50
MAC-10 | Graven (Well-Worn) 30 $0.74
Tec-9 | Nuclear Threat (Minimal Wear) 30 $1.95
P250 | Splash (Factory New) 30 $1.68
StatTrak™ Desert Eagle | Hypnotic (Factory New) 30 $14.80
P250 | Nuclear Threat (Battle-Scarred) 30 $2.56
PP-Bizon | Rust Coat (Well-Worn) 29 $0.46
AWP | Snake Camo (Minimal Wear) 29 $5.63
Desert Eagle | Golden Koi (Factory New) 29 $7.24
Nova | Modern Hunter (Battle-Scarred) 29 $0.21
PP-Bizon | Modern Hunter (Minimal Wear) 29 $0.52
MAG-7 | Hazard (Battle-Scarred) 29 $0.32
StatTrak™ M4A4 | Zirka (Field-Tested) 28 $8.62
AK-47 | Black Laminate (Battle-Scarred) 28 $8.05
USP-S | Serum (Minimal Wear) 28 $3.50
StatTrak™ Galil AR | Orange DDPAT (Battle-Scarred) 28 $2.00
StatTrak™ Nova | Tempest (Field-Tested) 27 $2.14
MAG-7 | Hazard (Well-Worn) 27 $0.39
PP-Bizon | Modern Hunter (Well-Worn) 27 $0.27
Dual Berettas | Anodized Navy (Minimal Wear) 27 $0.94
StatTrak™ Sawed-Off | Orange DDPAT (Minimal Wear) 27 $3.31
AWP | Snake Camo (Battle-Scarred) 28 $3.53
StatTrak™ Galil AR | Orange DDPAT (Minimal Wear) 26 $4.37
StatTrak™ USP-S | Overgrowth (Field-Tested) 26 $8.01
MP9 | Bulldozer (Minimal Wear) 26 $1.76
PP-Bizon | Rust Coat (Battle-Scarred) 26 $0.69
SG 553 | Ultraviolet (Factory New) 26 $0.55
M4A4 | Jungle Tiger (Factory New) 26 $2.46
MAG-7 | Hazard (Minimal Wear) 26 $0.98
AUG | Anodized Navy (Minimal Wear) 26 $1.01
PP-Bizon | Rust Coat (Minimal Wear) 25 $0.69
AK-47 | Red Laminate (Well-Worn) 25 $4.00
MP9 | Bulldozer (Battle-Scarred) 25 $1.00
SG 553 | Wave Spray (Factory New) 25 $1.12
Nova | Blaze Orange (Well-Worn) 25 $0.42
Dual Berettas | Demolition (Battle-Scarred) 25 $1.70
P250 | Modern Hunter (Minimal Wear) 25 $0.85
StatTrak™ Galil AR | Shattered (Well-Worn) 24 $1.75
P90 | Emerald Dragon (Well-Worn) 24 $2.73
StatTrak™ AWP | BOOM (Minimal Wear) 24 $37.57
Glock-18 | Brass (Battle-Scarred) 24 $2.30
SCAR-20 | Palm (Factory New) 24 $2.00
StatTrak™ M4A4 | Zirka (Minimal Wear) 23 $11.99
StatTrak™ Sawed-Off | Orange DDPAT (Well-Worn) 23 $2.09
StatTrak™ G3SG1 | Demeter (Well-Worn) 23 $1.50
StatTrak™ FAMAS | Hexane (Factory New) 22 $3.80
Dual Berettas | Hemoglobin (Field-Tested) 22 $0.75
AK-47 | Black Laminate (Well-Worn) 22 $7.72
XM1014 | Blaze Orange (Well-Worn) 22 $0.41
M249 | Jungle DDPAT (Factory New) 22 $0.92
M4A4 | Modern Hunter (Battle-Scarred) 22 $1.20
StatTrak™ Galil AR | Shattered (Minimal Wear) 22 $3.08
StatTrak™ M4A1-S | Blood Tiger (Minimal Wear) 22 $13.73
Sawed-Off | Copper (Battle-Scarred) 22 $0.76
AWP | Snake Camo (Well-Worn) 21 $3.45
StatTrak™ FAMAS | Hexane (Minimal Wear) 21 $2.68
FAMAS | Hexane (Well-Worn) 21 $0.27
StatTrak™ Nova | Graphite (Factory New) 21 $5.99
G3SG1 | Demeter (Factory New) 21 $1.78
Nova | Graphite (Minimal Wear) 21 $0.73
Tec-9 | Brass (Factory New) 20 $1.38
StatTrak™ AK-47 | Red Laminate (Field-Tested) 20 $47.00
MP7 | Groundwater (Factory New) 20 $1.00
